Gene,Mean Absolute SHAP
ENSG00000170373.8,0.006341819568178167
ENSG00000162840.4,0.0041273441758739975
ENSG00000100146.16,0.003925841670605138
ENSG00000211965.3,0.0035351002902823036
ENSG00000170477.12,0.003505456660770752
ENSG00000171401.14,0.0034155960601652342
ENSG00000104879.4,0.003323609682929757
ENSG00000071991.8,0.0031466202671445965
ENSG00000211956.2,0.002990977167115867
ENSG00000207110.1,0.002962823655820373
ENSG00000143196.4,0.002957489849968843
ENSG00000123560.13,0.002945924677743519
ENSG00000230937.9,0.0028639992679569716
ENSG00000250568.1,0.002834927933423542
ENSG00000274444.1,0.0027412385225690544
ENSG00000259357.2,0.002725384477701027
ENSG00000251381.6,0.0026566909865748884
ENSG00000101204.15,0.0025657740976818303
ENSG00000204790.9,0.0025337606273226404
ENSG00000169562.9,0.0025119151764803477
ENSG00000112936.18,0.0024950573661447224
ENSG00000172156.3,0.002481789835579598
ENSG00000261434.1,0.002456476059745619
ENSG00000214855.9,0.0024564450082534737
ENSG00000142973.12,0.002444739417271634
ENSG00000111245.14,0.002437292879709102
ENSG00000243063.1,0.0024201283791116576
ENSG00000211638.2,0.002385335121364842
ENSG00000274630.1,0.002378228934042063
ENSG00000267436.1,0.0023648111899211006
ENSG00000181092.9,0.0023472506959329328
ENSG00000233521.5,0.002335983466861421
ENSG00000223814.1,0.002322101421374533
ENSG00000254348.1,0.002320107589368825
ENSG00000215808.2,0.0022702599969466643
ENSG00000007038.10,0.0022631633503004405
ENSG00000168530.15,0.0022534182154964324
ENSG00000271267.1,0.002242206155697934
ENSG00000233705.6,0.0022420117575619415
ENSG00000222328.1,0.00223858188773269
ENSG00000269978.1,0.0022337227771875275
ENSG00000249577.1,0.002225305057734805
ENSG00000249388.1,0.0022136280851615476
ENSG00000211655.3,0.002206080868758193
ENSG00000175497.16,0.0022008205528783855
ENSG00000228168.1,0.002197833003821144
ENSG00000225383.6,0.0021830039448253722
ENSG00000249908.2,0.0021657772807738927
ENSG00000168925.10,0.0021653051902620663
ENSG00000230734.1,0.002163808596897295
