Gene,Mean Absolute SHAP
ENSG00000170373.8,0.006701772590612675
ENSG00000267436.1,0.004239710182958121
ENSG00000171401.14,0.003891644191595206
ENSG00000162840.4,0.0036845131849412346
ENSG00000104879.4,0.003528921901564444
ENSG00000214855.9,0.003488845185271344
ENSG00000170369.3,0.003284918421622486
ENSG00000100146.16,0.0032596231471493254
ENSG00000168530.15,0.003197776019425342
ENSG00000233521.5,0.003105877923860008
ENSG00000233929.1,0.003077594734905083
ENSG00000169562.9,0.0029463490540694607
ENSG00000215808.2,0.0028477723484381227
ENSG00000230937.9,0.002842262680591946
ENSG00000071991.8,0.0028375945721375844
ENSG00000129455.15,0.0028283942892257715
ENSG00000268083.5,0.0028171573560737484
ENSG00000143196.4,0.0027287297113880223
ENSG00000211970.3,0.0027181766791079297
ENSG00000170477.12,0.002630438399552208
ENSG00000223814.1,0.002625725452603745
ENSG00000249908.2,0.002559731572072762
ENSG00000111245.14,0.0024897547089302884
ENSG00000163207.6,0.002413010864842273
ENSG00000148604.13,0.002366072451840572
ENSG00000181092.9,0.002330710763148388
ENSG00000120068.6,0.0023169270632747035
ENSG00000254348.1,0.002315348759492209
ENSG00000089356.16,0.0022785455939911955
ENSG00000142973.12,0.0022760251503784385
ENSG00000270412.1,0.002267924559444569
ENSG00000211956.2,0.002265243057524231
ENSG00000233834.6,0.0022491695483084916
ENSG00000251381.6,0.0022465039766692754
ENSG00000211638.2,0.002243901450253782
ENSG00000143556.8,0.002222047473481602
ENSG00000137142.4,0.002220632611703069
ENSG00000064205.10,0.0022187192888711445
ENSG00000230734.1,0.002215633754125568
ENSG00000007038.10,0.0022132090545076413
ENSG00000092009.10,0.0022119135718723652
ENSG00000278527.1,0.0022029757788815207
ENSG00000244050.2,0.0021958638009326086
ENSG00000225383.6,0.0021947012542261547
ENSG00000224167.1,0.0021944165681582724
ENSG00000274444.1,0.0021812283349623442
ENSG00000219928.2,0.0021810946535278687
ENSG00000211965.3,0.0021739923048865015
ENSG00000171711.2,0.0021599345541042938
ENSG00000165215.6,0.0021196722772836418
