Gene,Mean Absolute SHAP
ENSG00000259357.2,0.00501562887683574
ENSG00000170373.8,0.003893107465836891
ENSG00000171401.14,0.0037945940406673025
ENSG00000170477.12,0.003421376323534767
ENSG00000219928.2,0.0034063928290489188
ENSG00000111245.14,0.0033172368652237146
ENSG00000100146.16,0.003240694431903814
ENSG00000181092.9,0.0032153911921845336
ENSG00000149021.6,0.003165754626485007
ENSG00000162840.4,0.0030380037537227123
ENSG00000244649.4,0.002857769587098532
ENSG00000163586.9,0.0027080309317812144
ENSG00000170369.3,0.0026487697944374443
ENSG00000274630.1,0.002607123740456966
ENSG00000254348.1,0.002598222639353104
ENSG00000091704.9,0.0025599910084686188
ENSG00000166670.9,0.0024671387872030807
ENSG00000270412.1,0.0024630383216168745
ENSG00000259439.2,0.0024521157675529114
ENSG00000206585.1,0.002402728890608424
ENSG00000268854.1,0.002392595497554406
ENSG00000255089.1,0.0023314801368243317
ENSG00000123500.9,0.002330531270843202
ENSG00000215808.2,0.002310620007392193
ENSG00000269926.1,0.0023016588480705568
ENSG00000049283.17,0.0022884820306534855
ENSG00000225383.6,0.002248726541300982
ENSG00000168878.16,0.0022188815439368745
ENSG00000244050.2,0.0022142506235519645
ENSG00000071991.8,0.0022089795893927952
ENSG00000143196.4,0.002169242600665741
ENSG00000168530.15,0.0021682671444719806
ENSG00000177202.2,0.002164563135469408
ENSG00000258581.2,0.0021499377645810332
ENSG00000223298.1,0.002146297677970168
ENSG00000237330.2,0.002146161888217002
ENSG00000275410.4,0.0021416656119364465
ENSG00000257270.1,0.0021380955787980395
ENSG00000237643.1,0.00212878969245245
ENSG00000267436.1,0.0021189928168973498
ENSG00000239881.1,0.002111438037461169
ENSG00000254894.1,0.0021100027111248545
ENSG00000254680.1,0.0021071988091483852
ENSG00000224060.3,0.002106139540313165
ENSG00000251381.6,0.002086824843154877
ENSG00000268518.1,0.0020866940835932678
ENSG00000226644.5,0.002076873502176664
ENSG00000096006.11,0.0020754050098023146
ENSG00000234743.1,0.0020481422474783427
ENSG00000123560.13,0.0020436496608826535
