Gene,Mean LIME Score
ENSG00000267125.2,0.007960070488725492
ENSG00000104413.15,0.006429189392428077
ENSG00000260570.1,0.005443672264418929
ENSG00000235363.1,0.005164408460213692
ENSG00000236439.4,0.005152670786412504
ENSG00000259032.2,0.0048770825722112745
ENSG00000180581.7,0.004657260757146976
ENSG00000240979.1,0.004297366937248439
ENSG00000183421.11,0.004254593606989754
ENSG00000143196.4,0.004221628002338532
ENSG00000270757.1,0.003931387567596648
ENSG00000274512.4,0.0035178042744376027
ENSG00000264578.1,0.0034312289421911508
ENSG00000104332.11,0.0032940399349081703
ENSG00000269888.1,0.002943137388258306
ENSG00000279119.1,0.0029415755624956096
ENSG00000179178.10,0.0028959367907477923
ENSG00000273361.1,0.0028547956885247735
ENSG00000112812.15,0.002783083281625468
ENSG00000135111.14,0.0027175572546011785
ENSG00000142675.17,0.0026547217323638263
ENSG00000105357.15,0.0026500540874163595
ENSG00000250786.1,0.002620089943326219
ENSG00000129824.15,0.002595813701853039
ENSG00000266872.1,0.0024713136914130468
ENSG00000137077.7,0.0024616330048196507
ENSG00000196549.10,0.0024593710274382207
ENSG00000215492.6,0.0024535906650656257
ENSG00000188112.8,0.00236472948745817
ENSG00000178075.19,0.0023282532404190624
ENSG00000139044.10,0.0023230980827354066
ENSG00000263986.1,0.0023205997317167805
ENSG00000280064.1,0.002304415548051828
ENSG00000229944.3,0.0021940808061837024
ENSG00000211666.2,0.002097202801464736
ENSG00000229927.2,0.0020544360828502906
ENSG00000099953.9,0.0020462830869263315
ENSG00000132698.13,0.0020122873243141096
ENSG00000196136.16,0.001999827980406357
ENSG00000238035.8,0.0019727478797307587
ENSG00000205362.10,0.001958809347494204
ENSG00000129354.11,0.001955297084053144
ENSG00000275645.1,0.0019391455537034726
ENSG00000167434.9,0.001935075690076287
ENSG00000142973.12,0.0019048889194544253
ENSG00000277701.4,0.001881041574021623
ENSG00000257315.1,0.001856194451347806
ENSG00000102802.9,0.0018456376197791993
ENSG00000164920.9,0.0018079582951207559
ENSG00000204959.4,0.00179521925862856
ENSG00000159166.13,0.0017739090057149371
ENSG00000187554.11,0.0017338505424303536
ENSG00000250273.1,0.0017221695147416037
ENSG00000165568.17,0.0017203954412566957
ENSG00000273259.2,0.0016972715786700166
ENSG00000262477.1,0.0016753157027531045
ENSG00000248866.1,0.0016544097568625205
ENSG00000128918.14,0.0016406608964531343
ENSG00000142178.7,0.0016270276508637137
ENSG00000112902.11,0.0016245363173205672
ENSG00000272573.5,0.0016203746704630895
ENSG00000272449.1,0.0016141809158142328
ENSG00000174749.5,0.0016089269775409496
ENSG00000254445.1,0.00160283226789875
ENSG00000254452.1,0.0015973844089614215
ENSG00000134184.12,0.0015903059633424592
ENSG00000111424.10,0.0015829602083286892
ENSG00000185761.10,0.0015425284524166606
ENSG00000176641.10,0.001541039115346257
ENSG00000153246.11,0.0015363880561106325
ENSG00000136689.18,0.0015285228922966277
ENSG00000236801.1,0.0015260579701962963
ENSG00000224397.5,0.0015189224270799185
ENSG00000112964.13,0.001507140889624023
ENSG00000149090.11,0.0015028182212464582
ENSG00000126460.10,0.0015018840231983972
ENSG00000163393.12,0.001495804198437598
ENSG00000171219.8,0.00148145196897993
ENSG00000146477.5,0.0014676129706835228
ENSG00000204789.4,0.001467382567939594
ENSG00000128422.15,0.0014463214111537174
ENSG00000163710.7,0.0014425223645490807
ENSG00000170837.2,0.0014180964006881322
ENSG00000254343.2,0.0014068509030837981
ENSG00000198729.4,0.0014061904589607638
ENSG00000160801.13,0.0014051786375258652
ENSG00000114529.12,0.0014030660488343451
ENSG00000156463.17,0.0013997031110525074
ENSG00000269194.1,0.0013981375628613713
ENSG00000278978.1,0.0013915792372391118
ENSG00000154529.14,0.0013891802090388828
ENSG00000187720.14,0.0013865869459584775
ENSG00000236698.1,0.0013829392734365118
ENSG00000237943.6,0.0013806505236777676
ENSG00000267580.1,0.0013673665165261858
ENSG00000205364.3,0.0013616127012592847
ENSG00000250299.5,0.0013587351260911846
ENSG00000153563.15,0.001349478888417759
ENSG00000151090.17,0.0013475572946899316
ENSG00000244682.7,0.0013471707201173433
