Gene,Mean LIME Score
ENSG00000124107.5,0.005987851208995204
ENSG00000189058.8,0.005349565838398
ENSG00000011465.16,0.005348565522104458
ENSG00000008394.12,0.003899154858927099
ENSG00000107438.8,0.0028596314256796253
ENSG00000077942.17,0.0026537043442231207
ENSG00000182326.14,0.0024894036947617697
ENSG00000116133.11,0.002481848058085625
ENSG00000196154.11,0.0022688871593960647
ENSG00000143416.20,0.002027711684223357
ENSG00000102007.10,0.002006230313305269
ENSG00000069399.12,0.0018792823522651948
ENSG00000076944.14,0.0018648206733700716
ENSG00000121310.16,0.0017316946987464262
ENSG00000221869.4,0.0016418726829102183
ENSG00000132386.10,0.001621248348594572
ENSG00000064666.14,0.0016091969169767526
ENSG00000166888.10,0.0015954109255479148
ENSG00000168610.14,0.0014713697015379201
ENSG00000120129.5,0.0014696580287592177
ENSG00000128016.5,0.0014472077303151368
ENSG00000135926.12,0.0013910807301604094
ENSG00000125733.17,0.0013483333533174833
ENSG00000099860.8,0.0013297122420883514
ENSG00000141753.6,0.0013149587511780158
ENSG00000185201.16,0.001304703981417236
ENSG00000166741.7,0.001255389658568751
ENSG00000157873.17,0.0012251750929284592
ENSG00000120705.12,0.001186837614502013
ENSG00000204256.12,0.0011810358641532492
ENSG00000212907.2,0.0011787240869716917
ENSG00000124831.18,0.0011730428522873358
ENSG00000176845.12,0.0011514916798974412
ENSG00000243716.10,0.0011502609465099153
ENSG00000197879.14,0.0011410986522044993
ENSG00000067066.16,0.0011323671897719256
ENSG00000101608.12,0.0011237087536967612
ENSG00000196954.12,0.0011130263197959237
ENSG00000198804.2,0.0011123690026570358
ENSG00000109099.13,0.0011073537195005433
ENSG00000003402.19,0.0011067909077251204
ENSG00000134107.4,0.001106159652259202
ENSG00000146067.15,0.0011017195727091409
ENSG00000104518.10,0.0010970533875716468
ENSG00000183087.14,0.0010855752143166216
ENSG00000142871.15,0.001079978170134296
ENSG00000107521.18,0.0010787446908198006
ENSG00000213983.11,0.0010772395136424457
ENSG00000213719.8,0.001071985850585205
ENSG00000156515.21,0.0010693139480492373
ENSG00000102882.11,0.0010626497433173941
ENSG00000140575.12,0.0010517735902834781
ENSG00000172216.5,0.0010443254568222142
ENSG00000213366.12,0.0010383574132093254
ENSG00000116786.11,0.0010366591030811204
ENSG00000198695.2,0.0010126980788802596
ENSG00000245532.5,0.0009948088455882635
ENSG00000168209.4,0.0009901063239500273
ENSG00000110719.9,0.000986143986653273
ENSG00000142227.10,0.0009819093697514955
ENSG00000228253.1,0.0009742347298419483
ENSG00000135720.12,0.0009601615866684085
ENSG00000152518.6,0.0009595674639032828
ENSG00000110651.11,0.0009538047721045198
ENSG00000132155.11,0.0009525821532709021
ENSG00000125968.8,0.0009492468386863515
ENSG00000099331.13,0.0009425285112945914
ENSG00000066322.12,0.0009298537540525616
ENSG00000129250.11,0.0009259883165029653
ENSG00000198818.9,0.0009243108126013119
ENSG00000108840.15,0.0009203505266858902
ENSG00000225630.1,0.0009201171592734346
ENSG00000182149.20,0.0009199458538136016
ENSG00000060138.12,0.0009181162838651236
ENSG00000197586.12,0.0009108387942141524
ENSG00000169715.14,0.0009094946462021279
ENSG00000096060.14,0.0009012547239995938
ENSG00000115524.15,0.0009010885048332389
ENSG00000170248.13,0.0008984503909786076
ENSG00000198832.10,0.0008974328909181361
ENSG00000196352.13,0.0008950090973558755
ENSG00000111275.12,0.000886422390473344
ENSG00000158195.10,0.0008847503207144038
ENSG00000152601.17,0.0008839818421446493
ENSG00000172890.11,0.000883673805216374
ENSG00000164050.12,0.0008819171220521984
ENSG00000116350.15,0.0008770299574088487
ENSG00000117335.18,0.0008714097251006582
ENSG00000182934.11,0.0008709496216450604
ENSG00000223501.8,0.0008667309694564296
ENSG00000107404.17,0.0008446670991469004
ENSG00000125952.18,0.0008414336088541595
ENSG00000100813.14,0.0008393290429443329
ENSG00000146278.10,0.0008360425433585039
ENSG00000185787.14,0.0008344754979404062
ENSG00000162909.17,0.000831865648764415
ENSG00000176014.12,0.0008292662206726857
ENSG00000129187.14,0.0008255961309672288
ENSG00000165795.20,0.0008222994183092716
ENSG00000176444.18,0.0008208792105134569
