Gene,Mean Absolute SHAP
ENSG00000142798.16,0.3374923558402494
ENSG00000211679.2,0.30972021819641893
ENSG00000173369.15,0.29950661573377
ENSG00000167642.12,0.2977193401236027
ENSG00000168961.16,0.2853059149603065
ENSG00000118785.13,0.26797824395517444
ENSG00000184205.14,0.26754975324899777
ENSG00000021355.12,0.2456131687678395
ENSG00000125730.16,0.24458466362741269
ENSG00000142156.14,0.24429943107414903
ENSG00000130702.13,0.24069283575261255
ENSG00000011465.16,0.2404266294166192
ENSG00000196954.12,0.23346502117321724
ENSG00000062716.10,0.23267522694025405
ENSG00000165092.12,0.22910575433994063
ENSG00000011600.11,0.22645894592002488
ENSG00000240583.10,0.2257917676682541
ENSG00000125148.6,0.22522253858482918
ENSG00000175567.8,0.22420109770988936
ENSG00000142871.15,0.22024156892409627
ENSG00000019582.14,0.21604475454080566
ENSG00000099194.5,0.21317569832726993
ENSG00000111321.10,0.21282192420570334
ENSG00000211677.2,0.20931759156551002
ENSG00000242086.8,0.20202497402462324
ENSG00000117394.19,0.2008155964008461
ENSG00000065054.13,0.1996671057793272
ENSG00000173372.16,0.19775858789839484
ENSG00000060138.12,0.19557735040911203
ENSG00000102007.10,0.1955245413111092
ENSG00000050165.17,0.1934179720186346
ENSG00000072778.19,0.1932543429667816
ENSG00000136732.14,0.1909907478629272
ENSG00000182481.8,0.19066225737765044
ENSG00000115414.18,0.1904751196751457
ENSG00000142173.14,0.18952184055741236
ENSG00000177666.15,0.18778738448817978
ENSG00000211896.6,0.18776257860497106
ENSG00000123416.15,0.18583958148442012
ENSG00000163191.5,0.18247615702794806
ENSG00000076706.14,0.18225773959284713
ENSG00000196154.11,0.17774776624895572
ENSG00000204580.11,0.17605227357843883
ENSG00000118523.5,0.17600255200319997
ENSG00000211592.6,0.17498550485500383
ENSG00000198431.15,0.17140673435691636
ENSG00000109099.13,0.16978971368987036
ENSG00000149591.16,0.16264926945006866
ENSG00000163430.9,0.16184075985279467
ENSG00000187608.8,0.16155985859087188
ENSG00000107438.8,0.15869006616922904
ENSG00000167315.17,0.15758448188108892
ENSG00000120129.5,0.15590956615216287
ENSG00000198467.13,0.15564949875316245
ENSG00000187840.4,0.15428722334301487
ENSG00000116741.7,0.1540687394452515
ENSG00000022267.16,0.15394369426993093
ENSG00000100097.11,0.15389731121712388
ENSG00000237973.1,0.15372055501661888
ENSG00000110492.15,0.1501394852103448
ENSG00000162729.13,0.14723626034411275
ENSG00000204287.13,0.14623266777575814
ENSG00000146674.14,0.14574697632338499
ENSG00000129250.11,0.14556695729618024
ENSG00000177410.12,0.14471815574299157
ENSG00000162511.7,0.1445765984578538
ENSG00000123384.13,0.14249651479725778
ENSG00000127922.9,0.14240916572549572
ENSG00000148671.13,0.1406503600665798
ENSG00000272398.5,0.14015836642419569
ENSG00000104419.14,0.13967387755356567
ENSG00000176014.12,0.1391958109872204
ENSG00000026297.15,0.13913928423138403
ENSG00000269893.6,0.13789995423134943
ENSG00000123989.13,0.13741251987027783
ENSG00000127824.13,0.13698840898117948
ENSG00000130203.9,0.1357610132957671
ENSG00000109113.17,0.13498747058325955
ENSG00000119655.8,0.13292527126543094
ENSG00000147162.13,0.13234197517567833
ENSG00000149131.15,0.13231355510942053
ENSG00000160211.15,0.13220182007133158
ENSG00000179094.13,0.13130099511802493
ENSG00000113140.10,0.1308470679255843
ENSG00000198918.7,0.13005925909169777
ENSG00000168734.13,0.1300160916595998
ENSG00000004399.12,0.1296007728407522
ENSG00000204388.6,0.12902996192391653
ENSG00000244313.3,0.12890938631743307
ENSG00000119632.3,0.12877655075149363
ENSG00000145247.11,0.1283030714055299
ENSG00000103335.19,0.12749211974603256
ENSG00000211445.11,0.12653940752941895
ENSG00000126005.15,0.12624398763722383
ENSG00000117632.20,0.12548123994693072
ENSG00000172638.12,0.12537832455898917
ENSG00000182492.15,0.12475596213633673
ENSG00000182871.14,0.12411665175722426
ENSG00000026025.13,0.12346637198900791
ENSG00000135052.16,0.12258144354002225
